4.6,-4,-40
4.6,-3,-30
4.6,-2,-20
4.6,-1,-10
4.6,0.4,10
4.6,0.8,20
4.6,1.4,30
4.6,1.8,40
4.6,2.2,50
4.6,2.8,60
4.6,3.2,70
4.6,3.8,80
4.8,-5.8,-60
4.8,-4.8,-50
4.8,-4,-40
4.8,-3,-30
4.8,-2,-20
4.8,-1,-10
4.8,0.4,10
4.8,0.8,20
4.8,1.2,30
4.8,1.4,30
4.8,1.8,40
4.8,2.2,50
4.8,2.8,60
4.8,3.2,70
4.8,3.6,80
4.8,3.8,80
5,-5.8,-60
5,-4.8,-50
5,-4,-40
5,-3,-30
5,-2,-20
5,-1,-10
5,0.4,10
5,0.8,20
5,1.2,30
5,1.6,40
5,1.8,40
5,2.2,50
5,2.6,60
5,3,70
5,3.2,70
5,3.6,80
5.2,-5.8,-60
5.2,-4.8,-50
5.2,-4,-40
5.2,-3,-30
5.2,-2,-20
5.2,-1,-10
5.2,0.4,10
5.2,0.8,20
5.2,1.2,30
5.2,1.6,40
5.2,2,50
5.2,2.4,60
5.2,2.6,60
5.2,3,70
5.2,3.4,80
5.2,3.8,90
5.4,-5.8,-60
5.4,-4.8,-50
5.4,-4,-40
5.4,-3,-30
5.4,-2,-20
5.4,-1,-10
5.4,0.4,10
5.4,0.6,20
5.4,0.8,20
5.4,1.2,30
5.4,1.6,40
5.4,2,50
5.4,2.4,60
5.4,2.8,70
5.4,3.2,80
5.4,3.4,80
5.4,3.6,90
5.4,3.8,90
5.6,-5.8,-60
5.6,-4.8,-50
5.6,-4,-40
5.6,-3,-30
5.6,-2,-20
5.6,-1,-10
5.6,0.4,10
5.6,0.6,20
5.6,1,30
5.6,1.2,30
5.6,1.4,40
5.6,1.6,40
5.6,1.8,50
5.6,2,50
5.6,2.2,60
5.6,2.4,60
5.6,2.8,70
5.6,3.2,80
5.6,3.6,90
5.8,-5.8,-60
5.8,-4.8,-50
5.8,-4,-40
5.8,-3,-30
5.8,-2,-20
5.8,-1,-10
5.8,0.2,10
5.8,0.4,10
5.8,0.6,20
5.8,1,30
5.8,1.4,40
5.8,1.8,50
5.8,2.2,60
5.8,2.6,70
5.8,3,80
5.8,3.4,90
5.8,3.8,100
6,-5.8,-60
6,-4.8,-50
6,-4,-40
6,-3,-30
6,-2,-20
6,-1,-10
6,0.2,10
6,0.6,20
6,1,30
6,1.4,40
6,1.8,50
6,2.2,60
6,2.6,70
6,3,80
6,3.2,90
6,3.4,90
6,3.6,100
6,3.8,100
6.2,-5.8,-60
6.2,-4.8,-50
6.2,-4,-40
6.2,-3,-30
6.2,-2,-20
6.2,-1,-10
6.2,0.2,10
6.2,0.6,20
6.2,1,30
6.2,1.4,40
6.2,1.6,50
6.2,1.8,50
6.2,2,60
6.2,2.2,60
6.2,2.4,70
6.2,2.8,80
6.2,3.2,90
6.2,3.6,100
6.4,-5.8,-60
6.4,-4.8,-50
6.4,-4,-40
6.4,-3,-30
6.4,-2,-20
6.4,-1,-10
6.4,0.2,10
6.4,0.6,20
6.4,1,30
6.4,1.2,40
6.4,1.4,40
6.4,1.6,50
6.4,2,60
6.4,2.4,70
6.4,2.8,80
6.4,3,90
6.4,3.2,90
6.4,3.4,100
6.6,-5.8,-60
6.6,-4.8,-50
6.6,-4,-40
6.6,-3,-30
6.6,-2,-20
6.6,-1,-10
6.6,0.2,10
6.6,0.6,20
6.6,0.8,30
6.6,1,30
6.6,1.2,40
6.6,1.6,50
6.6,2,60
6.6,2.2,70
6.6,2.4,70
6.6,2.6,80
6.6,3,90
6.6,3.2,100
6.6,3.4,100
6.8,-5.8,-60
6.8,-4.8,-50
6.8,-4,-40
6.8,-3,-30
6.8,-2,-20
6.8,-1,-10
6.8,0.2,10
6.8,0.6,20
6.8,0.8,30
6.8,1.2,40
6.8,1.6,50
6.8,1.8,60
6.8,2,60
6.8,2.2,70
6.8,2.6,80
6.8,2.8,90
6.8,3,90
6.8,3.2,100
7,-5.8,-60
7,-4.8,-50
7,-4,-40
7,-3,-30
7,-2,-20
7,-1,-10
7,0.2,10
